"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g24542.t1",178.205341669124,1.10729182922201,0.236217698371466,4.68759045937671,2.7644052134483e-06,0.000955508531424837,303,136,116,154,185,122,142,153,263,152,171
"Pocillopora_acuta_HIv2___RNAseq.g1817.t1",365.96367719503,-0.800469495344483,0.20329545072906,-3.93746880451004,8.23456330347419e-05,0.00941812013557754,280,468,475,507,345,467,473,464,265,379,109
"Pocillopora_acuta_HIv2___RNAseq.g10272.t2",1410.92908328194,0.499127377485376,0.0948005161123947,5.26502806053941,1.4016794664166e-07,7.58171450432922e-05,1695,1452,1483,1339,1510,1338,1522,1225,2024,1336,848
"Pocillopora_acuta_HIv2___RNAseq.g18315.t1",170.888947046769,-0.632225560929332,0.184771179781921,-3.42166760896112,0.000622383504252201,0.0334748326863701,122,193,225,215,186,209,201,180,148,225,61
"Pocillopora_acuta_HIv2___RNAseq.g28152.t1",542.204642686004,-1.62437720900597,0.453617648725501,-3.58093917547052,0.000342361355499032,0.0227328390064024,249,936,248,937,830,933,355,897,338,519,101
"Pocillopora_acuta_HIv2___TS.g20669.t2",1259.09539890696,1.75752352337869,0.421488080900108,4.1698059874562,3.04859053252984e-05,0.0049078131422316,1622,1389,539,511,1380,1043,665,758,2602,767,1632
"Pocillopora_acuta_HIv2___RNAseq.g16887.t1",10318.9890126482,-0.350096251839607,0.108685735606855,-3.22117939290579,0.00127664210366378,0.0484752762593109,8584,12196,12092,11782,13476,9817,12287,12488,9732,11976,4041
"Pocillopora_acuta_HIv2___RNAseq.g7959.t1",138.735613367256,1.39353308724181,0.257355237002118,5.41482311949353,6.13493219634567e-08,4.11986989551168e-05,263,143,109,102,127,90,104,67,242,131,120
"Pocillopora_acuta_HIv2___RNAseq.g21401.t1",5055.61809178345,-1.28451754862487,0.209729669957826,-6.12463438712875,9.0892071669561e-10,1.01729869167684e-06,3773,4967,4648,7037,5479,7865,4089,9185,3585,7022,1041
"Pocillopora_acuta_HIv2___RNAseq.g7395.t1b",35.6257904223185,1.76072512252806,0.527640265319833,3.33698020840162,0.000846939790064925,0.0395200101600623,53,18,21,18,28,24,13,24,44,28,65
"Pocillopora_acuta_HIv2___RNAseq.g8589.t1",3077.91528206015,-5.62344135971034,1.4073217384415,-3.99584629875601,6.44635493611944e-05,0.00841750702325286,80,369,14911,12497,326,4407,1698,220,59,1447,65
"Pocillopora_acuta_HIv2___RNAseq.g10393.t1",358.785138666108,-1.51255959710788,0.343470439193653,-4.40375480538831,1.0639318786361e-05,0.00233707054910868,152,666,680,529,308,408,364,498,174,363,68
"Pocillopora_acuta_HIv2___RNAseq.25613_t",1456.93554990125,1.94303479476035,0.361417984886556,5.37614306983158,7.60983316228171e-08,4.70404312233213e-05,1622,1311,965,930,895,1128,894,656,4333,640,1745
"Pocillopora_acuta_HIv2___RNAseq.g7238.t1",103.370701086796,1.41559623299589,0.416722326438221,3.39697717925308,0.000681346488480795,0.034889690338241,113,130,116,42,99,47,118,68,128,98,122
"Pocillopora_acuta_HIv2___RNAseq.g5987.t1",1038.14670047873,-1.18699438895468,0.261666843544629,-4.53628122262357,5.72548235698092e-06,0.00160204449188666,655,1182,1402,1962,1345,1395,1225,1047,607,1028,244
"Pocillopora_acuta_HIv2___RNAseq.g24558.t1",102.566653831576,2.23207280180309,0.631998608863047,3.53176853635571,0.000412790501907987,0.0258726078849208,239,23,70,19,115,66,54,63,106,60,172
"Pocillopora_acuta_HIv2___TS.g13477.t1",13.5379286603842,-20.1299851655959,3.08235321729688,-6.53071979312261,6.5454355265104e-11,1.09888511867929e-07,0,109,0,0,0,32,0,9,0,16,0
"Pocillopora_acuta_HIv2___RNAseq.g5300.t1",579.876757894173,-2.71865181714437,0.812439983079199,-3.34628018532582,0.000819035894758209,0.0386558627919617,107,129,2100,1290,552,744,791,116,129,851,49
"Pocillopora_acuta_HIv2___TS.g26541.t1",40.2627477207862,2.74394894288098,0.676639548799098,4.05525947714842,5.00786799417387e-05,0.00717712983750383,77,27,11,9,10,6,42,15,125,34,54
"Pocillopora_acuta_HIv2___RNAseq.g20997.t1b",171.478488286484,1.51927078117225,0.424450150957125,3.57938565399571,0.000344402902654659,0.0227383309662784,220,80,88,78,146,183,86,104,322,145,252
"Pocillopora_acuta_HIv2___RNAseq.g9823.t1",1305.68806993892,-1.23360012562316,0.308329779651292,-4.00091138461654,6.30989861913779e-05,0.00833190208675363,862,1519,1753,1068,2372,1837,1162,1974,668,1811,275
"Pocillopora_acuta_HIv2___RNAseq.g29382.t1",159.226521951355,-3.78426870593495,1.10924714016555,-3.41156498755558,0.000645911023917132,0.0339717320548547,26,751,37,22,39,432,47,368,12,161,7
"Pocillopora_acuta_HIv2___RNAseq.g29441.t1",6045.60053614649,0.988852753701953,0.301559358364834,3.27913137587199,0.00104127148436563,0.0446606660009668,8867,6375,2462,4238,6025,5341,6036,5843,11369,4947,4660
"Pocillopora_acuta_HIv2___RNAseq.g304.t1",334.240614516801,-2.13422994487971,0.581860787042461,-3.66793912290908,0.000244513380354158,0.0182357598356618,124,818,268,244,230,928,293,543,159,311,31
"Pocillopora_acuta_HIv2___RNAseq.g26446.t1",2756.9268811628,-0.942864879746351,0.221483152664738,-4.25705011149799,2.07141938505719e-05,0.00383359379735309,1723,3865,2867,4012,4078,3843,2844,3398,1763,2593,882
"Pocillopora_acuta_HIv2___RNAseq.g9198.t1",196.800114528936,-4.66494554328256,1.29500152288524,-3.60227031462414,0.000315450086213112,0.0215533105417238,3,11,885,668,35,364,92,12,24,207,5
"Pocillopora_acuta_HIv2___RNAseq.g23081.t1",213.955649941239,2.26338659421523,0.682822565485478,3.31475072533081,0.000917248802776475,0.0413800688300543,459,161,22,25,100,149,180,181,546,89,273
"Pocillopora_acuta_HIv2___RNAseq.g2164.t1",241.58859780362,-0.886802288734036,0.273967662741328,-3.23688671816473,0.00120841371236621,0.0476614172891814,198,213,382,301,349,274,295,294,164,306,51
"Pocillopora_acuta_HIv2___RNAseq.g15862.t2a",31.19653605618,3.30596138329442,0.994947507101852,3.32274955180725,0.000891349029317902,0.0406012937695503,8,7,26,13,22,11,11,6,24,5,102
"Pocillopora_acuta_HIv2___RNAseq.g23820.t1",3623.67673901492,2.36506533162229,0.62374987561421,3.79168866253223,0.000149626418072476,0.0137787332961081,4845,1094,3318,4051,1137,1390,1708,879,11145,847,5445
"Pocillopora_acuta_HIv2___RNAseq.g25279.t1",2604.17383716386,-5.32144179446773,1.56548204973127,-3.39923526774465,0.000675745618892799,0.03483053733872,62,82,12963,10023,350,4166,759,63,55,1832,83
"Pocillopora_acuta_HIv2___RNAseq.g11097.t1",526.672997269827,-0.61403797246626,0.159087719310174,-3.85974464357659,0.000113505572968943,0.011352489306647,420,653,629,650,546,615,608,719,497,595,159
"Pocillopora_acuta_HIv2___TS.g17764.t1",284.114384153286,-4.54022850658613,1.38284124647861,-3.28326083572339,0.0010261367326922,0.0441727431597022,22,9,1422,981,21,543,169,15,5,122,12
"Pocillopora_acuta_HIv2___RNAseq.g229.t1",33.2021744048185,3.37164522259414,0.824809289880815,4.08778764250017,4.35506523906248e-05,0.00656163162685414,43,11,8,2,9,16,22,14,41,6,95
"Pocillopora_acuta_HIv2___RNAseq.g14798.t1",2126.35075879788,0.759442973036548,0.234838995360166,3.23388784674288,0.00122117400313909,0.0478406379359858,2456,2420,2183,2045,1598,1998,2028,1624,4376,1801,1260
"Pocillopora_acuta_HIv2___RNAseq.g10905.t1",557.700680670337,0.635248453554361,0.192501205737305,3.29997129691357,0.00096694717554122,0.0428813705923035,709,537,584,492,747,391,737,436,675,551,362
"Pocillopora_acuta_HIv2___RNAseq.g1696.t1",72.0754849088633,1.43918785866369,0.445851873241426,3.22795068281429,0.00124680467382497,0.0479621883037351,91,64,56,38,41,73,66,64,226,30,49
"Pocillopora_acuta_HIv2___RNAseq.g1728.t1",2495.49936478094,1.29617866977947,0.339620126628074,3.81655434455139,0.000135328279463999,0.0129826770633544,5262,2321,1082,1368,2186,1839,1732,2501,3156,2075,2637
"Pocillopora_acuta_HIv2___RNAseq.g21695.t1",399.853589391341,-1.44765502462973,0.293031072627002,-4.94027821572508,7.80111801696273e-07,0.000339550884945726,210,538,661,604,463,490,650,312,199,548,58
"Pocillopora_acuta_HIv2___RNAseq.g16765.t1",455.770920593546,-1.48790256089876,0.37948136125807,-3.92088443017599,8.82245695778037e-05,0.0098276316746763,307,492,628,870,461,598,679,407,261,637,48
"Pocillopora_acuta_HIv2___RNAseq.g5156.t1a",104.092268462921,1.97890957103946,0.534839116751212,3.7000090476927,0.000215591780520727,0.0169622834393187,122,76,42,26,101,40,102,72,193,92,164
"Pocillopora_acuta_HIv2___RNAseq.g26329.t1",2612.96731174915,-3.9391858823589,1.11412362898326,-3.53568112181031,0.000406725322840912,0.0257673099408431,213,171,12547,6843,1466,3330,2516,93,223,3376,106
"Pocillopora_acuta_HIv2___TS.g27323.t1a",148.805522977024,-9.94564198809462,2.90079763533124,-3.42858869814231,0.000606728242661102,0.0327828519896702,0,0,731,478,15,285,65,0,0,174,0
"Pocillopora_acuta_HIv2___RNAseq.g25451.t1",1225.01267810725,1.46555515529697,0.304371359049108,4.81502320019708,1.47182789349727e-06,0.000576564046812664,1721,1883,989,890,1087,664,870,915,2280,687,1163
"Pocillopora_acuta_HIv2___RNAseq.g30653.t1a",135.972605519267,1.86572592105117,0.412725907041932,4.52049626451391,6.1694833807551e-06,0.00168613415559614,196,81,122,85,102,81,73,69,189,90,227
"Pocillopora_acuta_HIv2___RNAseq.g10267.t1",125.803114573318,1.63381408734451,0.469990633896061,3.47626946052256,0.000508441153199369,0.029580200160391,156,100,116,60,152,81,60,104,159,71,190
"Pocillopora_acuta_HIv2___RNAseq.26125_t",4768.00615322473,1.74761680916391,0.488058735222435,3.58075101015747,0.000342608027384739,0.0227328390064024,9307,3239,2481,2111,1203,5620,1307,3534,8310,2137,7298
"Pocillopora_acuta_HIv2___TS.g8875.t1",7.95918571942814,6.06436764871728,1.28069199030766,4.73522727916837,2.18809754711143e-06,0.000803578824176671,12,15,13,0,9,0,24,0,18,0,3
"Pocillopora_acuta_HIv2___TS.g6825.t1",58.4476458952549,0.983797422601177,0.304645898927083,3.22931451257333,0.00124087347015118,0.0479168368072401,85,62,58,41,60,67,50,43,105,35,40
"Pocillopora_acuta_HIv2___RNAseq.g28366.t1",24.8020763957599,-7.30080045057134,1.87667435701755,-3.89028625199202,0.000100126039530405,0.0106486987924101,0,5,125,93,2,26,10,3,0,28,0
"Pocillopora_acuta_HIv2___RNAseq.g27289.t1",936.0891131394,0.959403033079826,0.246060941579763,3.89904641882721,9.65722615857082e-05,0.0103645408050707,1050,1137,828,957,1049,533,980,736,1690,677,693
"Pocillopora_acuta_HIv2___RNAseq.g21582.t1",476.213341703208,-3.47123025158838,1.0045940562748,-3.4553561509813,0.00054956635695586,0.0310453430996878,59,62,1875,1565,200,815,243,82,67,555,36
"Pocillopora_acuta_HIv2___TS.g21530.t1",3627.5571528082,2.55299712589357,0.559453748389148,4.56337477985355,5.03378382113757e-06,0.00148716005633272,3125,1822,4752,2286,1596,1466,3748,873,14631,1059,3571
"Pocillopora_acuta_HIv2___RNAseq.g7884.t1",40.8229713576563,-1.38142002739779,0.406005261703215,-3.40246828724005,0.000667801049098597,0.0346624556172068,27,45,61,58,63,35,52,59,22,59,4
"Pocillopora_acuta_HIv2___RNAseq.g19867.t1",138.227481592831,-4.63085263238404,1.18480927743819,-3.90852158281285,9.28626525570416e-05,0.0101518315613986,15,71,360,413,16,511,59,43,0,106,8
"Pocillopora_acuta_HIv2___TS.g13327.t1",60.9555400595452,2.13907817647757,0.371204053915608,5.76253991278847,8.28574400314789e-09,7.212893594444e-06,128,28,50,31,43,35,21,33,128,33,83
"Pocillopora_acuta_HIv2___RNAseq.g1969.t1",132.780221258,0.977547383920281,0.2626298511484,3.722148794761,0.000197534555501114,0.0163611513384405,165,154,235,85,139,78,207,97,186,85,73
"Pocillopora_acuta_HIv2___RNAseq.g12168.t1",120.73527915973,2.14397205968906,0.617468861985461,3.47219461851914,0.000516221955270285,0.0297384334232176,270,73,36,35,17,130,26,93,278,30,187
"Pocillopora_acuta_HIv2___RNAseq.g6187.t1",1330.65634811823,-0.507486446129828,0.153393733118745,-3.30839100015236,0.000938337033480847,0.0420994906709647,1145,1337,1811,1578,1736,1562,1498,1556,1114,1509,466
"Pocillopora_acuta_HIv2___RNAseq.g3519.t1",140.566604957463,-1.55469619942328,0.446216447928116,-3.48417501560528,0.000493656567419786,0.0291530250267203,62,136,138,281,192,167,64,317,78,135,42
"Pocillopora_acuta_HIv2___RNAseq.g15097.t1",168.966081466829,0.862904952691627,0.184834765881901,4.6685208195247,3.03376039079719e-06,0.00103341310471445,217,203,191,110,207,119,205,123,274,162,96
"Pocillopora_acuta_HIv2___RNAseq.g12964.t1",286.953067331371,-1.12015375923106,0.321890177534041,-3.47992525839843,0.000501553682973694,0.0293493802112599,212,278,523,444,281,365,308,328,189,370,54
"Pocillopora_acuta_HIv2___RNAseq.g26224.t1",21.6146375877716,-7.481921599652,1.47632234684767,-5.06794577459851,4.02131919208802e-07,0.000178334125077051,0,9,19,69,9,56,49,10,0,35,0
"Pocillopora_acuta_HIv2___RNAseq.g5554.t1",4407.86471207458,0.81413291401715,0.238183239117416,3.41809489632396,0.000630611157872536,0.0335125233116191,5221,3801,5868,3977,3911,3961,4703,3115,6404,3591,3508
"Pocillopora_acuta_HIv2___RNAseq.g13974.t1",468.468205432476,-4.3925264102406,1.21245458326885,-3.62283789500641,0.000291388447818559,0.0202627043713829,26,28,2133,1763,101,602,296,23,49,466,13
"Pocillopora_acuta_HIv2___RNAseq.g30741.t1",157.134980424516,-3.93734902684123,1.1929045056691,-3.30064058617397,0.000964643708212325,0.0428813705923035,9,12,816,522,29,152,160,25,11,103,9
"Pocillopora_acuta_HIv2___RNAseq.g12773.t1",190.579603404753,1.27798535793555,0.347128812602995,3.68158825063351,0.000231785530123193,0.0175738293548888,278,154,217,166,126,165,94,141,351,111,199
"Pocillopora_acuta_HIv2___RNAseq.g5538.t1",234.017034348588,-0.789831486020402,0.243823744028153,-3.23935426866879,0.00119800669705737,0.0474838944479537,234,277,202,336,183,340,177,324,215,350,61
"Pocillopora_acuta_HIv2___RNAseq.g18561.t1",111.334199092351,2.73068508162749,0.460278373677458,5.9326816939286,2.98026289481728e-09,2.80192396319141e-06,142,39,42,40,39,45,78,39,285,60,222
"Pocillopora_acuta_HIv2___TS.g27426.t1",190.45672611944,0.825104818878185,0.235774581657919,3.49954949798326,0.000466045068893189,0.0283047113676112,265,182,183,146,144,184,138,148,295,208,162
"Pocillopora_acuta_HIv2___TS.g2343.t1",24.2478530280381,-6.72577562269037,1.71387370743464,-3.92431227196877,8.69778535628077e-05,0.00973489271495349,0,20,62,22,15,45,97,0,0,34,0
"Pocillopora_acuta_HIv2___RNAseq.g19484.t2",529.294932085514,2.13216490853548,0.56277114748632,3.78868909335354,0.000151444299446795,0.0137787332961081,1335,374,224,154,113,675,168,231,1274,166,660
"Pocillopora_acuta_HIv2___RNAseq.g3939.t1",255.457740351153,1.77529206642045,0.517323296980944,3.43168783772334,0.000599837571544961,0.0325602362161495,584,206,53,120,404,134,283,197,520,135,185
"Pocillopora_acuta_HIv2___RNAseq.g10694.t1",37.4080597148993,1.11773006591494,0.312009260425672,3.58236183243417,0.00034050171910406,0.0227328390064024,70,30,25,31,24,24,28,29,69,43,31
"Pocillopora_acuta_HIv2___RNAseq.g19553.t1",449.387158432776,-0.82426660507442,0.188766805779169,-4.36658660230071,1.26203262801653e-05,0.0026596286127547,382,542,388,593,542,628,530,515,361,625,116
"Pocillopora_acuta_HIv2___RNAseq.g28154.t1",106.744896254506,-2.9496511116743,0.893732323309317,-3.30037421132126,0.000965559870893539,0.0428813705923035,24,41,9,287,123,391,54,229,23,18,20
"Pocillopora_acuta_HIv2___TS.g16321.t2",32.1027965633927,-2.22135724227076,0.668663604741049,-3.32208486677096,0.000893475139436411,0.0406194191050549,16,30,34,122,27,57,19,23,12,29,4
"Pocillopora_acuta_HIv2___RNAseq.g18508.t2",1751.6625431877,-5.77565474904369,1.58474916406259,-3.64452298194465,0.000267888198218423,0.01902249006322,27,60,9236,7352,205,1870,539,36,48,1130,31
"Pocillopora_acuta_HIv2___TS.g27995.t2",15.5311963913972,4.68612012972195,1.03982787052218,4.50663062855649,6.58651432940514e-06,0.00172010480887043,20,17,20,4,48,0,21,0,23,0,16
"Pocillopora_acuta_HIv2___RNAseq.g18342.t1",981.386768020128,1.44631190470694,0.282551690856698,5.11875154709467,3.07564816349124e-07,0.000144580068869396,1190,841,601,619,776,806,1067,698,2065,603,1067
"Pocillopora_acuta_HIv2___TS.g15380.t1",68.4731936583308,1.46065458537927,0.327162297020815,4.46461771017073,8.02118411227323e-06,0.00198452538289337,121,64,54,39,49,62,37,57,127,37,72
"Pocillopora_acuta_HIv2___TS.g18003.t1a",38.5623566587111,1.2713238709926,0.340679573863591,3.73172907484511,0.000190169967292842,0.0160322722478017,62,34,34,27,54,31,37,29,79,20,24
"Pocillopora_acuta_HIv2___RNAseq.g550.t1",6.58304090379084,5.7566149843162,1.5317081614383,3.75829751988174,0.000171073393987096,0.0148373027759141,2,12,2,1,5,0,8,0,15,0,15
"Pocillopora_acuta_HIv2___RNAseq.g20365.t1",293.17572926094,0.998576602397263,0.215582949248864,4.6319832151685,3.62179522731851e-06,0.0011521718957089,467,341,264,253,318,190,385,226,360,203,219
"Pocillopora_acuta_HIv2___RNAseq.g1906.t1",60.0232098572749,2.46924408437492,0.707815292016217,3.48854300299342,0.0004856606940947,0.0289615834061411,66,37,29,19,13,24,32,34,47,37,160
"Pocillopora_acuta_HIv2___TS.g12475.t1",19.7495932379727,-4.79434270497465,1.19195085612778,-4.02226541499349,5.76410517141337e-05,0.00783118658664161,0,38,8,47,8,24,12,79,4,13,0
"Pocillopora_acuta_HIv2___RNAseq.g23641.t1",399.103471408717,1.36067692481481,0.318394370613785,4.27355836157456,1.92377900186889e-05,0.00361774988399944,588,235,197,226,426,360,309,315,737,306,456
"Pocillopora_acuta_HIv2___RNAseq.g24147.t1",7405.68264720459,-0.813975601640482,0.226392438250844,-3.59541868063011,0.000323870286442265,0.0219373118516974,5227,6757,9494,11032,8089,10148,10002,6653,6188,9916,2181
"Pocillopora_acuta_HIv2___RNAseq.g11664.t1",231.73237729738,-6.30388498577495,1.74277605089654,-3.61715148801363,0.000297862990908984,0.0204706775974408,0,13,1620,476,16,122,257,7,4,244,2
"Pocillopora_acuta_HIv2___RNAseq.g13920.t1",104.866316857283,-4.70343998488664,1.45074404561818,-3.24208808514011,0.00118657341455123,0.0474699212372091,7,0,465,380,50,162,98,5,4,60,3
"Pocillopora_acuta_HIv2___RNAseq.g22092.t1",151.463235491172,-3.76419995774217,0.888222452824905,-4.23790227973915,2.25617923861272e-05,0.0040791720634118,7,158,14,484,165,193,57,151,61,497,3
"Pocillopora_acuta_HIv2___RNAseq.g5193.t1",232.746488226556,0.623290835845977,0.18220162790325,3.4208851096377,0.00062417694506212,0.0334946459286303,350,193,206,222,264,192,194,227,318,239,160
"Pocillopora_acuta_HIv2___TS.g24016.t1",53.5600045607748,2.37662441361539,0.685452771339121,3.46723291959612,0.000525846019349955,0.0301450849726862,39,26,20,9,24,33,40,31,88,32,127
"Pocillopora_acuta_HIv2___RNAseq.g13097.t1",1316.53130745297,-4.11747056109489,0.998657492518472,-4.12300572712994,3.73960396892416e-05,0.0057490269874471,108,776,3699,5512,136,3232,617,305,227,686,44
"Pocillopora_acuta_HIv2___TS.g10005.t1",553.176118950912,-5.95441159172036,1.84006915077344,-3.23597164227091,0.00121229427078067,0.0477282488114385,21,16,2545,2047,23,1111,250,13,0,432,10
"Pocillopora_acuta_HIv2___TS.g5749.t1",371.234969343682,0.627328916596801,0.180629681772737,3.47301124842865,0.000514653785178502,0.0297209399676548,481,329,395,337,403,326,385,277,500,399,262
"Pocillopora_acuta_HIv2___TS.g1755.t1",26.0368426255642,3.29235795028585,0.975540931646032,3.37490498192695,0.000738411810481483,0.0360823933337979,11,8,8,6,7,9,37,10,29,4,78
"Pocillopora_acuta_HIv2___RNAseq.g28766.t1",87.9904749147292,1.92232922628986,0.558058014725167,3.44467631602168,0.000571743609738275,0.031768940433306,117,40,32,44,73,46,50,56,87,71,184
"Pocillopora_acuta_HIv2___RNAseq.g5377.t1",941.733726243991,-3.93805525613235,0.641837168339575,-6.13559863838993,8.48391052593936e-10,9.97029165008394e-07,74,766,1723,2940,436,2653,925,714,134,579,61
"Pocillopora_acuta_HIv2___RNAseq.g20836.t1",3951.5687349336,0.367860295773528,0.0826815667153149,4.44912101194365,8.62224286114816e-06,0.00204426208554203,4632,4334,4136,3962,4445,3829,4233,3720,5146,3644,2254
"Pocillopora_acuta_HIv2___RNAseq.g10587.t1",683.710730284015,1.99213703114107,0.612623712963481,3.2518118201863,0.00114671915330792,0.0472555288307894,1142,749,301,199,167,834,231,357,1413,245,1061
"Pocillopora_acuta_HIv2___RNAseq.g5017.t1",177.568856275948,-1.97269422797185,0.446342797594875,-4.41968423956148,9.88452209155901e-06,0.00219175289849059,84,159,144,261,322,279,363,145,40,280,27
"Pocillopora_acuta_HIv2___RNAseq.g2793.t1a",31.3712906394246,1.91224055303675,0.594683113896784,3.21556221851736,0.00130189269733445,0.0489594975330384,30,22,34,23,35,23,30,4,75,15,37
"Pocillopora_acuta_HIv2___TS.g30183.t1",10214.9028717167,-1.96018933680932,0.307633295973533,-6.37183738712717,1.86776868191438e-10,2.58235500586562e-07,4209,9151,13578,17780,17309,13447,9194,18720,4541,10795,1397
"Pocillopora_acuta_HIv2___TS.g20718.t2",8826.48280087734,0.956988927232281,0.268920232240215,3.55863491288913,0.000372787290382423,0.024071407893265,9383,9215,7266,5832,10276,6729,9777,7106,11800,8220,8730
"Pocillopora_acuta_HIv2___RNAseq.g8633.t1",193.220875656623,0.664812713078239,0.173135367029387,3.83984349636316,0.000123112766814849,0.0121072906745448,274,219,200,185,209,149,213,172,238,157,128
"Pocillopora_acuta_HIv2___RNAseq.g15870.t1",165.120317849748,1.47422494777853,0.454219813933515,3.24562007767085,0.00117195128076685,0.0474634856800094,219,167,69,59,288,95,247,118,271,119,148
"Pocillopora_acuta_HIv2___RNAseq.g24124.t1",118.357830838281,-5.49655986338154,1.67208337756949,-3.28725226093166,0.001011701621804,0.043631256731892,0,7,688,436,11,136,24,8,11,71,0
"Pocillopora_acuta_HIv2___RNAseq.g22413.t1",116.220452033306,2.70725527142171,0.72762549179225,3.7206712820813,0.00019869392788482,0.0163611513384405,314,57,8,9,48,64,16,89,297,45,183
"Pocillopora_acuta_HIv2___RNAseq.g26080.t1",35.9592959175292,-4.18132305923146,1.16970112492865,-3.57469354360629,0.00035063835457908,0.0230851649468535,0,132,34,42,14,103,16,56,9,24,0
"Pocillopora_acuta_HIv2___TS.g29982.t2",1869.64179791827,3.10177166124703,0.84725730691511,3.66095592912698,0.000251275982286296,0.0184562208989284,2594,1430,50,140,916,1049,1687,721,5333,484,3424
"Pocillopora_acuta_HIv2___RNAseq.g1877.t1",426.870725224847,2.08760326107955,0.439373337867045,4.7513198484321,2.02093164417833e-06,0.000753967894678847,743,328,130,205,357,111,478,295,1079,287,475
"Pocillopora_acuta_HIv2___RNAseq.g21397.t2",376.792676540314,0.74819789338879,0.181260490091329,4.12774947817809,3.66330898971587e-05,0.00570214665525045,613,331,269,299,349,322,279,431,579,373,276
"Pocillopora_acuta_HIv2___RNAseq.g24007.t1",3072.81213090087,-1.42096220288148,0.213871848689722,-6.64398896622887,3.05305439972152e-11,5.51992235469651e-08,1616,2564,2894,4573,4297,4362,3217,5608,1866,3843,772
"Pocillopora_acuta_HIv2___RNAseq.g28162.t1",407.813234930045,-1.35726285308046,0.407715212364986,-3.32894827545813,0.000871745924860828,0.0399405774228634,239,335,925,654,458,508,532,317,220,549,62
"Pocillopora_acuta_HIv2___TS.g14238.t1",15.5990430034121,2.2882585936005,0.683124325932212,3.34969566554064,0.000809003940577753,0.0385422435776916,27,8,6,2,13,5,11,8,32,16,25
"Pocillopora_acuta_HIv2___RNAseq.g27612.t1",20.9617881031923,3.28598776359326,0.890950133897833,3.68818370251244,0.000225860565616581,0.0172919437597789,25,14,11,0,12,10,6,8,29,6,55
"Pocillopora_acuta_HIv2___TS.g20906.t1",106.258307566268,-5.96838676518982,1.30677686888474,-4.56725773718624,4.94146274467102e-06,0.00148716005633272,3,30,470,436,29,117,100,12,4,54,0
"Pocillopora_acuta_HIv2___TS.g11629.t1a",625.693135712785,-4.25144474046146,0.983252020050874,-4.32386067230402,1.53322148210469e-05,0.0030283056903688,39,91,1117,1941,101,2509,780,115,90,454,33
"Pocillopora_acuta_HIv2___RNAseq.g29731.t1",363.028716385617,-4.63035640683924,1.28007607828447,-3.61725094733801,0.000297748597854204,0.0204706775974408,14,17,2167,1156,221,304,78,16,20,282,9
