"","delta.rank","pval","level","nseqs","term","name","p.adj","comparison","ontology"
"21",1026,1.51390940184453e-05,5,94,"GO:0000082;GO:0044843","cell cycle G1/S phase transition",0.000531681355797495,"High_v_Control","Biological Processes"
"22",2116,0.00013572475820608,-1,17,"GO:0000083","obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle",0.00375483823999368,"High_v_Control","Biological Processes"
"23",912,0.000578481778098589,2,75,"GO:0000086;GO:0044839","cell cycle G2/M phase transition",0.0122483596698492,"High_v_Control","Biological Processes"
"24",-1029,0.00257983775891369,2,45,"GO:0000096","sulfur amino acid metabolic process",0.0394029907709083,"High_v_Control","Biological Processes"
"25",-609,0.211522576948282,2,22,"GO:0000097;GO:0009086","sulfur amino acid biosynthetic process",0.56287654891183,"High_v_Control","Biological Processes"
"26",-1238,0.0303094065399476,3,16,"GO:0000098","sulfur amino acid catabolic process",0.202235118722176,"High_v_Control","Biological Processes"
"27",-2080,0.00161940910915949,2,12,"GO:0000101;GO:0015811","sulfur amino acid transport",0.0272926276586793,"High_v_Control","Biological Processes"
"28",1568,0.0929466600369089,3,6,"GO:0000103","sulfate assimilation",0.380944906440581,"High_v_Control","Biological Processes"
"29",-994,0.249739529359611,2,7,"GO:0000105;GO:0009073","aromatic amino acid family biosynthetic process",0.606761532599055,"High_v_Control","Biological Processes"
"30",515,6.61359739695367e-07,2,521,"GO:0000122","negative regulation of transcription by RNA polymerase II",3.55860080120489e-05,"High_v_Control","Biological Processes"
"31",-359,0.210582678338195,2,64,"GO:0000132;GO:0051294","establishment of spindle orientation",0.561394276569779,"High_v_Control","Biological Processes"
"32",49,0.912867155936281,2,26,"GO:0000154","rRNA modification",0.977001071088739,"High_v_Control","Biological Processes"
"33",74,0.658554610255336,2,193,"GO:0000165","MAPK cascade",0.891191229614108,"High_v_Control","Biological Processes"
"34",1296,0.133594777931011,2,7,"GO:0000183","rDNA heterochromatin formation",0.460631024435849,"High_v_Control","Biological Processes"
"35",696,0.00701505044900777,3,79,"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.0780707227389574,"High_v_Control","Biological Processes"
"36",-558,0.4181890837696,-1,11,"GO:0000185","obsolete activation of MAPKKK activity",0.7537622775579,"High_v_Control","Biological Processes"
"37",-447,0.229159068161835,-1,38,"GO:0000186","obsolete activation of MAPKK activity",0.586395259497889,"High_v_Control","Biological Processes"
"38",-97,0.688003269300759,-1,91,"GO:0000187","obsolete activation of MAPK activity",0.904804610172553,"High_v_Control","Biological Processes"
"39",746,0.258101906674061,-1,12,"GO:0000188","obsolete inactivation of MAPK activity",0.61423927010527,"High_v_Control","Biological Processes"
"40",225,0.165410047567932,9,204,"GO:0000209","protein polyubiquitination",0.506029621176676,"High_v_Control","Biological Processes"
"41",-463,0.149102916958619,2,51,"GO:0000212","meiotic spindle organization",0.4858270044235,"High_v_Control","Biological Processes"
"42",-20,0.860367558817507,2,413,"GO:0000226","microtubule cytoskeleton organization",0.96126850656887,"High_v_Control","Biological Processes"
"43",-46,0.946558487294059,4,11,"GO:0000244","spliceosomal tri-snRNP complex assembly",0.987233739018618,"High_v_Control","Biological Processes"
"44",1584,2.34826494244502e-07,2,56,"GO:0000245","spliceosomal complex assembly",1.36362117697426e-05,"High_v_Control","Biological Processes"
"45",38,0.946852768264115,2,16,"GO:0000266","mitochondrial fission",0.987233739018618,"High_v_Control","Biological Processes"
"46",-172,0.706815202776128,4,25,"GO:0000272;GO:0005980;GO:0009251;GO:0044247","polysaccharide catabolic process",0.910290278947823,"High_v_Control","Biological Processes"
"47",782,2.24757013502193e-09,2,318,"GO:0000280;GO:0048285","organelle fission",1.83083317248661e-07,"High_v_Control","Biological Processes"
"48",198,0.382624181905845,2,103,"GO:0000281","mitotic cytokinesis",0.725736940558418,"High_v_Control","Biological Processes"
"49",-125,0.688820914448449,4,54,"GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.904804610172553,"High_v_Control","Biological Processes"
"50",336,0.522415141896106,3,19,"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening",0.818366668595262,"High_v_Control","Biological Processes"
"51",-324,0.671101947347739,5,9,"GO:0000290;GO:0110156;GO:0110154","RNA decapping",0.897529609797813,"High_v_Control","Biological Processes"
"52",50,0.896363651530099,-1,35,"GO:0000291;GO:0043928","obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic",0.973550521522969,"High_v_Control","Biological Processes"
"53",102,0.571307964095558,2,163,"GO:0000302","response to reactive oxygen species",0.847022491787804,"High_v_Control","Biological Processes"
"54",-250,0.643349398718744,6,18,"GO:0000303;GO:0000305","response to oxygen radical",0.883770835461059,"High_v_Control","Biological Processes"
"55",-39,0.969304853105011,2,5,"GO:0000320","re-entry into mitotic cell cycle",0.993065553036098,"High_v_Control","Biological Processes"
"56",-96,0.884220356324901,8,12,"GO:0000338","protein deneddylation",0.969748379671715,"High_v_Control","Biological Processes"
"57",1069,0.295735425332146,2,5,"GO:0000350","generation of catalytic spliceosome for second transesterification step",0.656257385385182,"High_v_Control","Biological Processes"
"58",2045,0.0179281428982089,6,7,"GO:0000378;GO:0000968;GO:0000971;GO:1903326;GO:1903328;GO:2000235;GO:2000237","tRNA exon ligation",0.145635122019384,"High_v_Control","Biological Processes"
"59",881,0.201140544899779,6,11,"GO:0000380","alternative mRNA splicing, via spliceosome",0.550096549384649,"High_v_Control","Biological Processes"
"60",762,0.00577934728760639,2,69,"GO:0000381","regulation of alternative mRNA splicing, via spliceosome",0.0684765087713363,"High_v_Control","Biological Processes"
"61",18,0.96090740154326,2,37,"GO:0000387","spliceosomal snRNP assembly",0.992125190086624,"High_v_Control","Biological Processes"
"62",2345,7.12612906769569e-05,2,15,"GO:0000389","mRNA 3'-splice site recognition",0.00211482496974525,"High_v_Control","Biological Processes"
"63",845,0.328152231612897,5,7,"GO:0000393","spliceosomal conformational changes to generate catalytic conformation",0.682793760884009,"High_v_Control","Biological Processes"
"64",1340,0.0156976652988927,3,17,"GO:0000394;GO:0006388","RNA splicing, via endonucleolytic cleavage and ligation",0.135992329361899,"High_v_Control","Biological Processes"
"65",1805,0.077449374720225,2,5,"GO:0000395","mRNA 5'-splice site recognition",0.347990294337871,"High_v_Control","Biological Processes"
"66",1390,0.173729450569504,-1,5,"GO:0000414","obsolete regulation of histone H3-K36 methylation",0.518800014047933,"High_v_Control","Biological Processes"
"67",-434,0.291098157229926,2,31,"GO:0000422;GO:0061726","autophagy of mitochondrion",0.651637668760884,"High_v_Control","Biological Processes"
"68",-96,0.917769645567549,3,6,"GO:0000423","mitophagy",0.978827479011909,"High_v_Control","Biological Processes"
"69",1926,0.00352081123278476,3,12,"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0487017874534967,"High_v_Control","Biological Processes"
"70",637,0.461221348454765,4,7,"GO:0000459;GO:0000467;GO:0016078;GO:0071038;GO:0106354","tRNA decay",0.782404090623729,"High_v_Control","Biological Processes"
"71",863,0.0218465261802726,2,37,"GO:0000460","maturation of 5.8S rRNA",0.165551076086019,"High_v_Control","Biological Processes"
"72",1270,0.000325603053548618,3,42,"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.00797069708495457,"High_v_Control","Biological Processes"
"73",485,0.524654082374216,2,9,"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.819789557699205,"High_v_Control","Biological Processes"
"74",1351,0.00381149161498129,2,24,"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0516910134103623,"High_v_Control","Biological Processes"
"75",903,0.0368778754363586,-1,28,"GO:0000469","obsolete cleavage involved in rRNA processing",0.227964697918957,"High_v_Control","Biological Processes"
"76",687,0.149733685259618,2,23,"GO:0000470","maturation of LSU-rRNA",0.486815930622004,"High_v_Control","Biological Processes"
"77",1342,0.0105442061669423,2,19,"GO:0000479;GO:0000478","obsolete endonucleolytic cleavage involved in rRNA processing",0.103761357666303,"High_v_Control","Biological Processes"
"78",2187,0.00409385132675863,2,9,"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0539560405200885,"High_v_Control","Biological Processes"
"79",187,0.767836985340622,2,13,"GO:0000491;GO:0000492","small nucleolar ribonucleoprotein complex assembly",0.933107031844874,"High_v_Control","Biological Processes"
"80",34,0.872119023646469,4,120,"GO:0000578;GO:0007351;GO:0008595","embryonic axis specification",0.963675600723968,"High_v_Control","Biological Processes"
"81",2004,0.0203360310853771,5,7,"GO:0000706","meiotic DNA double-strand break processing",0.158641042575055,"High_v_Control","Biological Processes"
"82",2142,2.85854369045933e-06,2,25,"GO:0000712;GO:0051307","meiotic chromosome separation",0.000120764488670774,"High_v_Control","Biological Processes"
"83",509,0.332085153816262,4,19,"GO:0000715","nucleotide-excision repair, DNA damage recognition",0.685798872705486,"High_v_Control","Biological Processes"
"84",2103,2.52969071985307e-05,3,21,"GO:0000722;GO:0006312","mitotic recombination",0.000838228026663178,"High_v_Control","Biological Processes"
"85",1771,5.24136479965216e-12,2,80,"GO:0000723;GO:0032200","telomere organization",7.02434373313643e-10,"High_v_Control","Biological Processes"
"86",2017,2.62354670489643e-16,5,87,"GO:0000724;GO:0000725","recombinational repair",7.69355071210878e-14,"High_v_Control","Biological Processes"
"87",1697,2.28962217672042e-08,-1,57,"GO:0000726;GO:0006303","obsolete non-recombinational repair",1.54352115706497e-06,"High_v_Control","Biological Processes"
"88",2008,0.0493876768013812,2,5,"GO:0000727","double-strand break repair via break-induced replication",0.272235643270771,"High_v_Control","Biological Processes"
"89",1436,0.00401062434099331,5,21,"GO:0000729","DNA double-strand break processing",0.0530977692097647,"High_v_Control","Biological Processes"
"90",1249,0.14833087755394,5,7,"GO:0000730;GO:0090735;GO:0042148;GO:0000707","DNA recombinase assembly",0.484657714124712,"High_v_Control","Biological Processes"
"91",1390,1.79431521351827e-05,2,50,"GO:0000731;GO:0006301;GO:0019985","DNA synthesis involved in DNA repair",0.000608303972675414,"High_v_Control","Biological Processes"
"92",1817,0.0245787654199946,-1,8,"GO:0000733","obsolete DNA strand renaturation",0.176443646497268,"High_v_Control","Biological Processes"
"93",966,0.0207342385692485,-1,30,"GO:0000737;GO:0006308","DNA catabolic process",0.160854906360638,"High_v_Control","Biological Processes"
"94",1879,0.0660421735255989,-1,5,"GO:0000738","obsolete DNA catabolic process, exonucleolytic",0.3192107809373,"High_v_Control","Biological Processes"
"95",-1810,0.0361879523969246,2,7,"GO:0000741;GO:0007344;GO:0035044","karyogamy",0.226057414994301,"High_v_Control","Biological Processes"
"96",-31,0.919234925740715,3,57,"GO:0000768;GO:0006949;GO:0140253;GO:0007520","syncytium formation",0.979021955708289,"High_v_Control","Biological Processes"
"97",1263,7.43087682810864e-10,2,126,"GO:0000819;GO:0000070","sister chromatid segregation",6.80970196825893e-08,"High_v_Control","Biological Processes"
"98",-677,0.507722966748076,3,5,"GO:0000820","regulation of glutamine family amino acid metabolic process",0.812049021931948,"High_v_Control","Biological Processes"
"99",93,0.260846659063851,2,847,"GO:0000902;GO:0032989","cellular anatomical entity morphogenesis",0.617379199116015,"High_v_Control","Biological Processes"
"100",1245,0.0176755331796341,2,19,"GO:0000912;GO:0000915","assembly of actomyosin apparatus involved in cytokinesis",0.144819884510367,"High_v_Control","Biological Processes"
"101",128,0.859654242756813,5,10,"GO:0000916;GO:0036213","actomyosin contractile ring contraction",0.960905685871681,"High_v_Control","Biological Processes"
"102",332,0.601119573659045,2,13,"GO:0000920","septum digestion after cytokinesis",0.86139027179441,"High_v_Control","Biological Processes"
"103",162,0.362582691232352,2,168,"GO:0000956;GO:0006402","mRNA catabolic process",0.710982107682295,"High_v_Control","Biological Processes"
"104",857,0.111911015605567,2,18,"GO:0000959","mitochondrial RNA metabolic process",0.418558434456263,"High_v_Control","Biological Processes"
"105",309,0.720753052404324,5,7,"GO:0000963;GO:0090646","mitochondrial RNA processing",0.916964239451928,"High_v_Control","Biological Processes"
"106",-182,0.577307786925035,2,49,"GO:0000966","RNA 5'-end processing",0.849301198732135,"High_v_Control","Biological Processes"
"107",859,0.319788974856609,4,7,"GO:0000972","transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery",0.676945010973988,"High_v_Control","Biological Processes"
"108",-109,0.448271271705418,3,261,"GO:0001101","response to acid chemical",0.774889298584274,"High_v_Control","Biological Processes"
"109",-506,0.531239506217028,6,8,"GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113","RNA polymerase II promoter clearance",0.823610812572791,"High_v_Control","Biological Processes"
"110",-751,0.462434696377844,2,5,"GO:0001178","regulation of transcriptional start site selection at RNA polymerase II promoter",0.782735784778082,"High_v_Control","Biological Processes"
"111",-535,0.600867176977555,6,5,"GO:0001188","RNA polymerase I preinitiation complex assembly",0.86139027179441,"High_v_Control","Biological Processes"
"112",1155,0.215937332115784,-1,6,"GO:0001302","obsolete replicative cell aging",0.567161868723275,"High_v_Control","Biological Processes"
"113",-633,0.535844238918226,-1,5,"GO:0001306;GO:0007571","obsolete age-dependent response to oxidative stress",0.825896072585894,"High_v_Control","Biological Processes"
"114",2290,0.00460740165929227,4,8,"GO:0001325;GO:0090656;GO:0090737","formation of extrachromosomal circular DNA",0.0592596726573447,"High_v_Control","Biological Processes"
"115",-54,0.713281030180743,4,252,"GO:0001501","skeletal system development",0.913205248201279,"High_v_Control","Biological Processes"
"116",250,0.704729324173804,3,12,"GO:0001502;GO:0098743","cell aggregation",0.910290278947823,"High_v_Control","Biological Processes"
"117",101,0.633584489979003,2,117,"GO:0001503","ossification",0.878480622630462,"High_v_Control","Biological Processes"
"118",-302,0.575539591874402,2,18,"GO:0001504","neurotransmitter uptake",0.849301198732135,"High_v_Control","Biological Processes"
"119",-159,0.207303884991211,-1,342,"GO:0001505","obsolete regulation of neurotransmitter levels",0.556957070762003,"High_v_Control","Biological Processes"
"120",52,0.847062878473515,4,72,"GO:0001508","action potential",0.957665952121107,"High_v_Control","Biological Processes"
"121",508,0.124211170699244,5,48,"GO:0001510","RNA methylation",0.444322631435106,"High_v_Control","Biological Processes"
"122",306,0.723480549139959,5,7,"GO:0001514;GO:0006451","translational readthrough",0.916964239451928,"High_v_Control","Biological Processes"
"123",565,0.155949007785687,4,33,"GO:0001516;GO:0046457;GO:0019371","prostanoid biosynthetic process",0.496817452831643,"High_v_Control","Biological Processes"
"124",561,0.39531613799996,2,12,"GO:0001522","pseudouridine synthesis",0.737204661881131,"High_v_Control","Biological Processes"
"125",-285,0.335751889936646,4,60,"GO:0001523;GO:0016101;GO:0006721","terpenoid metabolic process",0.688030921967319,"High_v_Control","Biological Processes"
"126",-139,0.445069864785075,2,160,"GO:0001525","angiogenesis",0.772288389634457,"High_v_Control","Biological Processes"
"127",362,0.229134765281511,2,58,"GO:0001541","ovarian follicle development",0.586395259497889,"High_v_Control","Biological Processes"
"128",769,0.341614815243316,2,8,"GO:0001542","ovulation from ovarian follicle",0.692517797869829,"High_v_Control","Biological Processes"
"129",-1972,0.053657797279677,2,5,"GO:0001547","antral ovarian follicle growth",0.283771849454739,"High_v_Control","Biological Processes"
"130",-1902,0.0276837650139947,2,7,"GO:0001553","luteinization",0.191593364794377,"High_v_Control","Biological Processes"
"131",661,0.517812403522339,3,5,"GO:0001554","luteolysis",0.816828872151296,"High_v_Control","Biological Processes"
"132",-178,0.848367521750878,2,6,"GO:0001555","oocyte growth",0.957665952121107,"High_v_Control","Biological Processes"
"133",-69,0.882647198576358,3,24,"GO:0001556","oocyte maturation",0.969246554483597,"High_v_Control","Biological Processes"
"134",-66,0.615248433419087,4,317,"GO:0001558","regulation of cell growth",0.868037541978096,"High_v_Control","Biological Processes"
"135",90,0.906151925405239,2,9,"GO:0001561","fatty acid alpha-oxidation",0.975728404291956,"High_v_Control","Biological Processes"
"136",1438,0.159507836943719,2,5,"GO:0001562;GO:0042832","response to protozoan",0.500810205393422,"High_v_Control","Biological Processes"
"137",-185,0.172582768248599,2,295,"GO:0001568;GO:0001944","vasculature development",0.517052315141737,"High_v_Control","Biological Processes"
"138",-712,0.112708449176977,2,26,"GO:0001569","branching involved in blood vessel morphogenesis",0.419438486308991,"High_v_Control","Biological Processes"
"139",301,0.305413558817005,3,61,"GO:0001570","vasculogenesis",0.663389548108976,"High_v_Control","Biological Processes"
"140",-669,0.00521216377028282,3,92,"GO:0001578;GO:0035082","microtubule bundle formation",0.0644726227204464,"High_v_Control","Biological Processes"
"141",560,0.117424598962088,3,41,"GO:0001649","osteoblast differentiation",0.431513328892635,"High_v_Control","Biological Processes"
"142",-66,0.478480132579482,3,662,"GO:0001654;GO:0007423","sensory organ development",0.795258394243023,"High_v_Control","Biological Processes"
"143",-56,0.689274300173941,2,274,"GO:0001655;GO:0072001","urogenital system development",0.904804610172553,"High_v_Control","Biological Processes"
"144",194,0.592727732010984,5,40,"GO:0001656","metanephros development",0.857299173426491,"High_v_Control","Biological Processes"
"145",274,0.325251146660291,5,68,"GO:0001657;GO:0072164;GO:0072163;GO:0001823","mesonephric tubule development",0.68079870633926,"High_v_Control","Biological Processes"
"146",273,0.456596481174471,3,39,"GO:0001658;GO:0060675;GO:0072171","mesonephric tubule morphogenesis",0.781195554868224,"High_v_Control","Biological Processes"
"147",-452,0.493674012023224,2,12,"GO:0001659","temperature homeostasis",0.804500717009227,"High_v_Control","Biological Processes"
"148",-684,0.463840351105792,2,6,"GO:0001661","conditioned taste aversion",0.783983763468435,"High_v_Control","Biological Processes"
"149",-305,0.0239228349145957,2,297,"GO:0001666;GO:0036293;GO:0070482","response to oxygen levels",0.173760075685481,"High_v_Control","Biological Processes"
"150",49,0.729326359418066,4,265,"GO:0001667","ameboidal-type cell migration",0.92028810197654,"High_v_Control","Biological Processes"
"151",-162,0.82315116831598,4,10,"GO:0001675","acrosome assembly",0.949926552781765,"High_v_Control","Biological Processes"
"152",-614,0.00883073451646101,4,96,"GO:0001676","long-chain fatty acid metabolic process",0.0924861748911497,"High_v_Control","Biological Processes"
"153",-380,0.157174797241556,2,73,"GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333","cellular response to carbohydrate stimulus",0.498556076701853,"High_v_Control","Biological Processes"
"154",-344,0.602217553860009,2,12,"GO:0001682;GO:0099116","tRNA 5'-end processing",0.86139027179441,"High_v_Control","Biological Processes"
"155",-792,0.359093072706574,5,7,"GO:0001696","gastric acid secretion",0.709073753018417,"High_v_Control","Biological Processes"
"156",216,0.257962961458072,2,146,"GO:0001700","embryonic development via the syncytial blastoderm",0.61423927010527,"High_v_Control","Biological Processes"
"157",276,0.0546210276478131,2,261,"GO:0001701","in utero embryonic development",0.287054056589986,"High_v_Control","Biological Processes"
"158",-86,0.836237517501071,5,30,"GO:0001702","gastrulation with mouth forming second",0.954194595801109,"High_v_Control","Biological Processes"
"159",-4,0.990781991239166,5,40,"GO:0001703;GO:0010004","gastrulation with mouth forming first",0.997652092609921,"High_v_Control","Biological Processes"
"160",-10,0.962852095971687,2,116,"GO:0001704","formation of primary germ layer",0.992125190086624,"High_v_Control","Biological Processes"
"161",702,0.49229066916629,4,5,"GO:0001705","ectoderm formation",0.804500717009227,"High_v_Control","Biological Processes"
"162",146,0.631029811118834,2,57,"GO:0001706;GO:0035987","endoderm formation",0.877299943484367,"High_v_Control","Biological Processes"
"163",-170,0.482374956928868,3,90,"GO:0001707;GO:0048332","mesoderm morphogenesis",0.797836751942417,"High_v_Control","Biological Processes"
"164",150,0.429641035805604,2,148,"GO:0001708","cell fate specification",0.760571993895073,"High_v_Control","Biological Processes"
"165",487,0.0120549461186354,2,141,"GO:0001709","cell fate determination",0.115905342599667,"High_v_Control","Biological Processes"
"166",27,0.943614870363187,2,37,"GO:0001711","endodermal cell fate commitment",0.985614900104999,"High_v_Control","Biological Processes"
"167",-1188,0.0442427731384231,2,15,"GO:0001714","endodermal cell fate specification",0.254963926104723,"High_v_Control","Biological Processes"
"168",292,0.701916546438859,3,9,"GO:0001731","formation of translation preinitiation complex",0.90980151750483,"High_v_Control","Biological Processes"
"169",234,0.602146069105274,4,26,"GO:0001737","establishment of imaginal disc-derived wing hair orientation",0.86139027179441,"High_v_Control","Biological Processes"
"170",-47,0.826634659632835,2,114,"GO:0001738;GO:0001736;GO:0007164","morphogenesis of a polarized epithelium",0.951667769862353,"High_v_Control","Biological Processes"
"171",1271,0.054172938966217,3,12,"GO:0001742;GO:0007438","oenocyte differentiation",0.285723279709409,"High_v_Control","Biological Processes"
"172",791,0.360134784110105,6,7,"GO:0001746;GO:0055034","Bolwig's organ development",0.709493435787545,"High_v_Control","Biological Processes"
"173",43,0.850636659459423,2,101,"GO:0001751","compound eye photoreceptor cell differentiation",0.957665952121107,"High_v_Control","Biological Processes"
"174",794,0.026513360155342,5,41,"GO:0001752;GO:0042706;GO:0046552","photoreceptor cell fate commitment",0.185783581016823,"High_v_Control","Biological Processes"
"175",-173,0.331014538004014,2,168,"GO:0001754;GO:0046530","photoreceptor cell differentiation",0.684767093047339,"High_v_Control","Biological Processes"
"176",486,0.237583604871826,6,31,"GO:0001755;GO:0090497","neural crest cell migration",0.594826027684572,"High_v_Control","Biological Processes"
"177",410,0.162743408747264,2,61,"GO:0001756","somitogenesis",0.504969490369925,"High_v_Control","Biological Processes"
"178",364,0.633014999313561,2,9,"GO:0001757","somite specification",0.877923998112949,"High_v_Control","Biological Processes"
"179",371,0.359127318526109,5,32,"GO:0001759;GO:0003347;GO:0060979;GO:1904847;GO:2000544","vasculogenesis involved in coronary vascular morphogenesis",0.709073753018417,"High_v_Control","Biological Processes"
"180",34,0.845736011509539,2,170,"GO:0001763;GO:0061138;GO:0048754","morphogenesis of a branching structure",0.956602311435587,"High_v_Control","Biological Processes"
"181",304,0.186113005749237,4,100,"GO:0001764","neuron migration",0.533766639960526,"High_v_Control","Biological Processes"
"182",-1662,0.0748144878421187,2,6,"GO:0001765;GO:0044854;GO:0044857","membrane raft assembly",0.343607651678955,"High_v_Control","Biological Processes"
"183",-592,0.31592580621143,2,15,"GO:0001773;GO:0043011;GO:0097028","myeloid dendritic cell activation",0.672697801277458,"High_v_Control","Biological Processes"
"184",659,0.51920776830377,2,5,"GO:0001774;GO:0002269","microglial cell activation",0.816978629915029,"High_v_Control","Biological Processes"
"185",-198,0.0488043623148597,2,555,"GO:0001775;GO:0045321","cell activation",0.271464449074792,"High_v_Control","Biological Processes"
"186",-253,0.558742719561921,2,28,"GO:0001776;GO:0002260","leukocyte homeostasis",0.837899782723259,"High_v_Control","Biological Processes"
"187",-309,0.762453749919679,6,5,"GO:0001778","plasma membrane repair",0.931106385837474,"High_v_Control","Biological Processes"
"188",-34,0.951565604903194,2,17,"GO:0001782","B cell homeostasis",0.989000934389019,"High_v_Control","Biological Processes"
"189",-1010,0.211248549079848,7,8,"GO:0001783","B cell apoptotic process",0.56265792023311,"High_v_Control","Biological Processes"
"190",236,0.377136094636379,2,74,"GO:0001816","cytokine production",0.722858227464213,"High_v_Control","Biological Processes"
"191",194,0.179230522464269,5,259,"GO:0001817","regulation of cytokine production",0.524544418289889,"High_v_Control","Biological Processes"
"192",-82,0.714807265300036,2,106,"GO:0001818","negative regulation of cytokine production",0.913962199909464,"High_v_Control","Biological Processes"
"193",417,0.0316279565438708,2,141,"GO:0001819","positive regulation of cytokine production",0.206567889899557,"High_v_Control","Biological Processes"
"194",937,0.315244370014027,2,6,"GO:0001820;GO:0006837","serotonin transport",0.672697801277458,"High_v_Control","Biological Processes"
"195",-655,0.36488532763382,5,10,"GO:0001821","histamine secretion",0.713454770043019,"High_v_Control","Biological Processes"
"196",-166,0.315184717601422,2,196,"GO:0001822","kidney development",0.672697801277458,"High_v_Control","Biological Processes"
"197",826,0.00259775989908336,3,70,"GO:0001824","blastocyst development",0.0395736670340881,"High_v_Control","Biological Processes"
"198",221,0.579918428810089,2,33,"GO:0001825","blastocyst formation",0.851156552795589,"High_v_Control","Biological Processes"
"199",528,0.513519257030634,3,8,"GO:0001826","inner cell mass cell differentiation",0.815319556709439,"High_v_Control","Biological Processes"
"200",786,0.441942157431969,4,5,"GO:0001827","inner cell mass cell fate commitment",0.768908559281667,"High_v_Control","Biological Processes"
"201",-50,0.9349055188428,3,14,"GO:0001829","trophectodermal cell differentiation",0.983713826338899,"High_v_Control","Biological Processes"
"202",2220,2.33227960108176e-05,2,19,"GO:0001832","blastocyst growth",0.000777205673883211,"High_v_Control","Biological Processes"
"203",2209,0.00049428092790471,2,13,"GO:0001833","inner cell mass cell proliferation",0.0110273172365465,"High_v_Control","Biological Processes"
"204",-857,0.146847251298233,2,15,"GO:0001836","release of cytochrome c from mitochondria",0.482768569991108,"High_v_Control","Biological Processes"
